"site_id","parameter_desc","latitude","longitude","city_name","location","land_use_type","setting","site_name","stat","used_in_nat_agg","trend","state_name","location_setting","local_site_name","natts","toxic_name_alias","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"01-073-5502","1,3-Butadiene","33.5447998046875","-86.8238983154297","Birmingham","","Commercial","","Lewis Elementary School","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Lewis Elementary School","No","Butadiene","","","","","","","","","","0.137765636614391","","","","","","","","","",""
"01-073-5503","1,3-Butadiene","33.5684013366699","-86.8029022216797","Birmingham","","Commercial","","Riggins School","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Riggins School","No","Butadiene","","","","","","","","","","0.167528724401361","","","","","","","","","",""
"01-073-5505","1,3-Butadiene","33.5566329956055","-86.8054656982422","Birmingham","","Residential","","Hudson K-8","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Hudson K-8","No","Butadiene","","","","","","","","","","0.112140252600823","","","","","","","","","",""
"01-073-6004","1,3-Butadiene","33.5652770996094","-86.79638671875","Birmingham","","Residential","","UATMP: SIAL; Sloss Industries","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Sloss Shuttlesworth","No","Butadiene","","","","","","","","","","0.131859743803301","","","","","","","","","",""
"01-097-3102","1,3-Butadiene","30.7089004516602","-88.0519027709961","Mobile","","Residential","","","meanRos_ug_m3","No","Undetermined","Alabama","Suburban","","No","Butadiene","0.124065201766935","","","","","","","","","","","","","","","","","","",""
"01-097-3103","1,3-Butadiene","30.9382991790771","-88.0250015258789","Mobile","","Residential","","","meanRos_ug_m3","No","Undetermined","Alabama","Rural","","No","Butadiene","0.128231924462348","","","","","","","","","","","","","","","","","","",""
"02-020-0018","1,3-Butadiene","61.2058601379395","-149.824600219727","Anchorage","","Residential","","UATMP: ANAK","meanRos_ug_m3","No","Undetermined","Alaska","Suburban","GARDEN/TRINITY CHRISTIAN CHURCH","No","Butadiene","","","","","","","0.139852374792099","","","","0.161922196573352","","","","","","","","",""
"04-013-4003","1,3-Butadiene","33.4031600952148","-112.075332641602","Phoenix","","Residential","","UATMP: SPAZ","meanRos_ug_m3","Yes","Decreasing","Arizona","Urban And Center City","SOUTH PHOENIX","No","Butadiene","0.336229564997101","0.376484345791782","0.596017876399531","","","0.218772670165682","0.216777968096236","0.251127520768807","0.285237490947688","0.25042411411802","0.215974360103569","0.182250353937088","0.225080219563097","0.271075812023127","0.191510254581427","0.259515410224939","0.152463706334432","0.178137929749585","0.222992871803316","0.164945271677308"
"04-013-4009","1,3-Butadiene","33.406421661377","-112.144340515137","Phoenix","","Industrial","","UATMP: MCAZ","meanRos_ug_m3","No","Undetermined","Arizona","Urban And Center City","WEST 43RD AVENUE","No","Butadiene","0.11757861081141","","","","","","","","","","","","","","","","","","",""
"04-013-9997","1,3-Butadiene","33.503833770752","-112.095764160156","Phoenix","Phoenix, AZ","Residential","Urban ","UATMP: PXSS; NATTS: Phoenix, AZ; IMPROVE: PHOE1","meanRos_ug_m3","Yes","Decreasing","Arizona","Urban And Center City","JLG SUPERSITE","Yes","Butadiene","0.349405497024399","0.392332229104272","0.441582528501749","0.418979241584356","0.300126028802986","0.228000465529756","0.224736471082373","0.203247966786635","0.229094512560341","0.224347850735315","0.211290251556175","0.193965659642263","0.192675149362338","0.216835041637095","0.192254620234419","0.192158033642622","0.134096604164185","0.13399045975999","0.134016668118659","0.0997529795362813"
"06-001-0007","1,3-Butadiene","37.6875267028809","-121.784217834473","Livermore","","Commercial","","REPLACES OLD SITE 06-001-0003 THAT WAS LOCATED AT 2614 OLD 1ST. ST.","meanRos_ug_m3","No","No Trend","California","Urban And Center City","Livermore","No","Butadiene","0.277286632126052","","","","","","","","","0.0277373993467029","0.112573452113006","0.0994125099427743","0.0886362023784699","","","","","","",""
"06-001-0008","1,3-Butadiene","37.8171195983887","-122.280456542969","Oakland","","Residential","","OAKLAND FILBERT ST","meanRos_ug_m3","No","Undetermined","California","Urban And Center City","Oakland - Filbert St.","No","Butadiene","0.264779676835196","0.303367872186294","","0.23834587733841","0.249266789952545","","","","","","","","","","","","","","",""
"06-001-0009","1,3-Butadiene","37.7430648803711","-122.169937133789","Oakland","","Residential","","Oakland East","meanRos_ug_m3","No","No Trend","California","Urban And Center City","Oakland","No","Butadiene","","","","","","0.0860139961423979","","","0.113996967737303","0.0585563255136208","0.161158996964655","0.12291841438661","0.10078347344496","","0.0817903765973657","0.0655308599174733","","","",""
"06-001-0011","1,3-Butadiene","37.8147811889648","-122.282348632813","Oakland","","Residential","","Oakland-West","meanRos_ug_m3","No","No Trend","California","Urban And Center City","Oakland West","No","Butadiene","","","","","","","","","","0.0542669809711046","0.147913501567898","0.112948494192777","0.120896230446873","0.0634282858420734","0.0859003246399365","0.0762009356078918","","","",""
"06-001-0012","1,3-Butadiene","37.7936248779297","-122.263374328613","Oakland","","Commercial","","Laney College","meanRos_ug_m3","No","No Trend","California","Urban And Center City","Laney College","No","Butadiene","","","","","","","","","","","","0.122768979652652","0.125252660020034","0.066969524473892","0.0660710392808764","0.087445192254084","","","",""
"06-001-1001","1,3-Butadiene","37.535831451416","-121.961822509766","Fremont","","Residential","","Fremont - Chapel Way","meanRos_ug_m3","No","No Trend","California","Suburban","Fremont - Chapel Way","No","Butadiene","0.187456453666594","0.119748555946179","0.156828924083634","0.132527290197481","0.127889433023958","0.09203878489207","0.108995439726249","","","","","","","","","","","","",""
"06-007-0002","1,3-Butadiene","39.7573699951172","-121.843284606934","Chico","","Commercial","","468 MANZANITA AVE, CHICO","meanRos_ug_m3","No","No Trend","California","Suburban","Chico-Manzanita Ave.","No","Butadiene","0.257287475775268","0.292597928737261","0.24678457105947","0.126149942191948","0.145110404390934","0.176788555682506","0.164671427395628","0.136890686418985","0.177984142689756","","","","","","","","","","",""
