"site_id","parameter_desc","latitude","longitude","city_name","location","land_use_type","setting","site_name","stat","used_in_nat_agg","trend","state_name","location_setting","local_site_name","natts","toxic_name_alias","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"01-073-5502","Toluene","33.5447998046875","-86.8238983154297","Birmingham","","Commercial","","Lewis Elementary School","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Lewis Elementary School","No","Toluene","","","","","","","","","","5.53267037017005","","","","","","","","","",""
"01-073-5503","Toluene","33.5684013366699","-86.8029022216797","Birmingham","","Commercial","","Riggins School","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Riggins School","No","Toluene","","","","","","","","","","3.44130419360267","","","","","","","","","",""
"01-073-5505","Toluene","33.5566329956055","-86.8054656982422","Birmingham","","Residential","","Hudson K-8","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Hudson K-8","No","Toluene","","","","","","","","","","3.42300446374076","","","","","","","","","",""
"01-073-6004","Toluene","33.5652770996094","-86.79638671875","Birmingham","","Residential","","UATMP: SIAL; Sloss Industries","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Sloss Shuttlesworth","No","Toluene","","","","","","","","","","2.77097451862167","","","","","","","","","",""
"01-097-3101","Toluene","30.770299911499","-88.0875015258789","Mobile","","Residential","","","meanRos_ug_m3","No","Undetermined","Alabama","Suburban","","No","Toluene","3.22762753618391","","","","","","","","","","","","","","","","","","",""
"01-097-3102","Toluene","30.7089004516602","-88.0519027709961","Mobile","","Residential","","","meanRos_ug_m3","No","Undetermined","Alabama","Suburban","","No","Toluene","4.55061313039378","","","","","","","","","","","","","","","","","","",""
"01-097-3103","Toluene","30.9382991790771","-88.0250015258789","Mobile","","Residential","","","meanRos_ug_m3","No","Undetermined","Alabama","Rural","","No","Toluene","1.3628393390349","","","","","","","","","","","","","","","","","","",""
"01-097-3105","Toluene","30.5764007568359","-88.1402969360352","Mobile","","Commercial","","","meanRos_ug_m3","No","Undetermined","Alabama","Suburban","","No","Toluene","2.43409211698331","","","","","","","","","","","","","","","","","","",""
"02-020-0018","Toluene","61.2058601379395","-149.824600219727","Anchorage","","Residential","","UATMP: ANAK","meanRos_ug_m3","No","Undetermined","Alaska","Suburban","GARDEN/TRINITY CHRISTIAN CHURCH","No","Toluene","","","","","","","6.33932218074799","","","","7.15074787960678","","","","","","","","",""
"04-013-4003","Toluene","33.4031600952148","-112.075332641602","Phoenix","","Residential","","UATMP: SPAZ","meanRos_ug_m3","Yes","No Trend","Arizona","Urban And Center City","SOUTH PHOENIX","No","Toluene","11.3488678243425","9.35232559272221","16.7535976842467","","","4.3108435296293","4.26410899559657","4.72591113633123","6.2749229361934","4.78398472865423","3.8511407836791","3.45232163667679","4.06181024760008","4.63742422000054","4.74897807630999","4.49071118132821","3.8462754368782","5.06488520868363","4.96086314049634","4.08584366690728"
"04-013-4009","Toluene","33.406421661377","-112.144340515137","Phoenix","","Industrial","","UATMP: MCAZ","meanRos_ug_m3","No","Undetermined","Arizona","Urban And Center City","WEST 43RD AVENUE","No","Toluene","7.62328616579374","","","","","","","","","","","","","","","","","","",""
