"AMA_SITE_CODE","NATTS","state_name","Setting","location","1,3-Butadiene","Acetaldehyde","Arsenic Pm10 Lc","Benzene","Benzo(a)pyrene (total tsp & vapor)","Beryllium Pm10 Lc","Cadmium Pm10 Lc","Carbon tetrachloride","Chloroform","Chromium VI (LC)","Ethylbenzene","Ethylene dichloride","Formaldehyde","Lead Pm10 Lc","Manganese Pm10 Lc","Methylene chloride","Naphthalene (total tsp & vapor)","Nickel Pm10 Lc","Tetrachloroethylene","Toluene","Trichloroethylene","Vinyl chloride"
"010730023","No","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"010735503","No","Alabama",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA
"010973101","No","Alabama",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"010973102","No","Alabama",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"010973103","No","Alabama",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"010973104","No","Alabama",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA
"010973105","No","Alabama",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"020200018","No","Alaska",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"040078020","No","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"040078021","No","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
