"site_id","parameter_desc","latitude","longitude","city_name","location","land_use_type","setting","site_name","stat","used_in_nat_agg","trend","state_name","city_name","location_setting","local_site_name","natts","toxic_name_alias","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"01-073-5502","Methylene chloride","33.5447998046875","-86.8238983154297","BIRMINGHAM","","COMMERCIAL","","Lewis Elementary School","meanRos_ug_m3","No","Undetermined","Alabama","Birmingham","Urban And Center City","Lewis Elementary School","No","MethyleneChloride","","","","","","","","","","0.691615945100784","","","","","","","",""
"01-073-5503","Methylene chloride","33.5684013366699","-86.8029022216797","BIRMINGHAM","","COMMERCIAL","","Riggins School","meanRos_ug_m3","No","Undetermined","Alabama","Birmingham","Urban And Center City","Riggins School","No","MethyleneChloride","","","","","","","","","","0.771021070579688","","","","","","","",""
"01-073-5505","Methylene chloride","33.5566329956055","-86.8054656982422","Birmingham","","RESIDENTIAL","","Hudson K-8","meanRos_ug_m3","No","Undetermined","Alabama","Birmingham","Urban And Center City","Hudson K-8","No","MethyleneChloride","","","","","","","","","","0.821397137641907","","","","","","","",""
"01-073-6004","Methylene chloride","33.5652770996094","-86.79638671875","BIRMINGHAM","","RESIDENTIAL","","UATMP: SIAL; Sloss Industries","meanRos_ug_m3","No","Undetermined","Alabama","Birmingham","Urban And Center City","Sloss Shuttlesworth","No","MethyleneChloride","","","","","","","","","","1.30336568548399","","","","","","","",""
"01-097-3101","Methylene chloride","30.770299911499","-88.0875015258789","MOBILE","","RESIDENTIAL","","","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Suburban","","No","MethyleneChloride","0.61087557046037","","","","","","","","","","","","","","","","",""
"01-097-3102","Methylene chloride","30.7089004516602","-88.0519027709961","MOBILE","","RESIDENTIAL","","","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Suburban","","No","MethyleneChloride","0.7226653572931","","","","","","","","","","","","","","","","",""
"01-097-3103","Methylene chloride","30.9382991790771","-88.0250015258789","MOBILE","","RESIDENTIAL","","","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Rural","","No","MethyleneChloride","0.462298980560796","","","","","","","","","","","","","","","","",""
"01-097-3105","Methylene chloride","30.5764007568359","-88.1402969360352","MOBILE","","COMMERCIAL","","","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Suburban","","No","MethyleneChloride","0.518918031924649","","","","","","","","","","","","","","","","",""
"02-020-0018","Methylene chloride","61.2058601379395","-149.824600219727","ANCHORAGE","","RESIDENTIAL","","UATMP: ANAK","meanRos_ug_m3","No","Undetermined","Alaska","Anchorage","Suburban","GARDEN/TRINITY CHRISTIAN CHURCH","No","MethyleneChloride","","","","","","","0.622676180005074","","","","0.565132404448556","","","","","","",""
"02-185-NBRW","Methylene chloride","71.322998046875","-156.610992431641","Barrow","","","","NOAA: Barrow, Alaska","meanRos_ug_m3","Yes","Increasing","","Barrow","","NOAA: Barrow, Alaska","No","MethyleneChloride","0.133925564818678","0.1302985434029","0.12972779239283","0.13716847147276","0.149374372643647","0.164024065179843","0.163345091959002","0.183926269710064","0.183584199395291","0.190868121932964","0.238815629964223","0.243165642607446","0.240739654676587","0.24727291900378","0.269503378833494","0.262470362358321","0.272631276347358","0.288022047164393"
