"site_id","parameter_desc","latitude","longitude","city_name","location","land_use_type","setting","site_name","stat","used_in_nat_agg","trend","state_name","city_name","location_setting","local_site_name","natts","toxic_name_alias","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"01-073-5502","Ethylbenzene","33.5447998046875","-86.8238983154297","BIRMINGHAM","","COMMERCIAL","","Lewis Elementary School","meanRos_ug_m3","No","Undetermined","Alabama","Birmingham","Urban And Center City","Lewis Elementary School","No","Ethylbenzene","","","","","","","","","","0.931516745686531","","","","","","","",""
"01-073-5503","Ethylbenzene","33.5684013366699","-86.8029022216797","BIRMINGHAM","","COMMERCIAL","","Riggins School","meanRos_ug_m3","No","Undetermined","Alabama","Birmingham","Urban And Center City","Riggins School","No","Ethylbenzene","","","","","","","","","","0.506801601499319","","","","","","","",""
"01-073-5505","Ethylbenzene","33.5566329956055","-86.8054656982422","Birmingham","","RESIDENTIAL","","Hudson K-8","meanRos_ug_m3","No","Undetermined","Alabama","Birmingham","Urban And Center City","Hudson K-8","No","Ethylbenzene","","","","","","","","","","0.497514602116176","","","","","","","",""
"01-073-6004","Ethylbenzene","33.5652770996094","-86.79638671875","BIRMINGHAM","","RESIDENTIAL","","UATMP: SIAL; Sloss Industries","meanRos_ug_m3","No","Undetermined","Alabama","Birmingham","Urban And Center City","Sloss Shuttlesworth","No","Ethylbenzene","","","","","","","","","","0.489132060505012","","","","","","","",""
"01-097-3101","Ethylbenzene","30.770299911499","-88.0875015258789","MOBILE","","RESIDENTIAL","","","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Suburban","","No","Ethylbenzene","0.472318601125378","","","","","","","","","","","","","","","","",""
"01-097-3102","Ethylbenzene","30.7089004516602","-88.0519027709961","MOBILE","","RESIDENTIAL","","","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Suburban","","No","Ethylbenzene","0.648720355034133","","","","","","","","","","","","","","","","",""
"01-097-3105","Ethylbenzene","30.5764007568359","-88.1402969360352","MOBILE","","COMMERCIAL","","","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Suburban","","No","Ethylbenzene","0.438986371352768","","","","","","","","","","","","","","","","",""
"02-020-0018","Ethylbenzene","61.2058601379395","-149.824600219727","ANCHORAGE","","RESIDENTIAL","","UATMP: ANAK","meanRos_ug_m3","No","Undetermined","Alaska","Anchorage","Suburban","GARDEN/TRINITY CHRISTIAN CHURCH","No","Ethylbenzene","","","","","","","0.836285970509052","","","","1.05798150061584","","","","","","",""
"04-013-4003","Ethylbenzene","33.4031600952148","-112.075332641602","Phoenix","","RESIDENTIAL","","UATMP: SPAZ","meanRos_ug_m3","Yes","No Trend","Arizona","Phoenix","Urban And Center City","SOUTH PHOENIX","No","Ethylbenzene","3.62876191536586","2.47040724754333","2.95131107118337","","","0.747664499068253","0.622641509857597","0.806608021259308","1.1375498867804","0.891814338167508","0.712743185700909","0.627377326538165","0.686144769657403","0.781935245519684","0.930931725892527","0.863973277396169","0.760661709308624","0.857915418282632"
"04-013-4009","Ethylbenzene","33.406421661377","-112.144340515137","Phoenix","","INDUSTRIAL","","UATMP: MCAZ","meanRos_ug_m3","No","Undetermined","Arizona","Phoenix","Urban And Center City","WEST 43RD AVENUE","No","Ethylbenzene","1.64379468896431","","","","","","","","","","","","","","","","",""
