"AMA_SITE_CODE","AQS_PARAMETER_NAME","MONITOR_LATITUDE","MONITOR_LONGITUDE","CITY","Location","LAND_USE","Setting","SITE_NAME","Stat","UsedInNatAgg","TrendDirection","state_name","city_name","location_setting","local_site_name","NATTS","ToxicNameAlias","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"04-013-4009","Arsenic Pm10 Lc","33.40642166","-112.1443405","659","","INDUSTRIAL","","1283","meanRos_ug_m3","No","Undetermined","Arizona","Phoenix","Urban And Center City","WEST 43RD AVENUE","No","Arsenic","","","","","","","","0.000807101444149715","","","","",""
"06-019-0008","Arsenic Pm10 Lc","36.78133392","-119.7731934","316","","RESIDENTIAL","","945","meanRos_ug_m3","No","Undetermined","California","Fresno","Suburban","3425 N FIRST ST, FRESNO","No","Arsenic","","","","","","","","","","","","",""
"06-025-0004","Arsenic Pm10 Lc","32.67388916","-115.5030594","124","","RESIDENTIAL","","140","meanRos_ug_m3","No","Undetermined","California","Calexico","Suburban","Calexico-Grant Street","No","Arsenic","","","","","","","","","","","","",""
"06-025-0005","Arsenic Pm10 Lc","32.67618561","-115.4841461","123","","RESIDENTIAL","","141","meanRos_ug_m3","No","Undetermined","California","Calexico","Suburban","Calexico-Ethel Street","No","Arsenic","","","","","","","","","","","","",""
"06-025-1003","Arsenic Pm10 Lc","32.79222107","-115.5630569","262","","COMMERCIAL","","292","meanRos_ug_m3","No","Undetermined","California","El Centro","Urban And Center City","El Centro-9th Street","No","Arsenic","","","","","","","","","","","","",""
"06-027-1001","Arsenic Pm10 Lc","36.04940033","-117.943924","202","","UNKNOWN","","224","meanRos_ug_m3","No","Undetermined","California","Not in a city","Unknown","Coso Junction","No","Arsenic","","","","","","","","","","","","",""
"06-027-1003","Arsenic Pm10 Lc","36.48782349","-117.8710327","430","","RESIDENTIAL","","652","meanRos_ug_m3","No","Undetermined","California","Keeler","Rural","Keeler","No","Arsenic","","","","","","","","","","","","",""
"06-029-0014","Arsenic Pm10 Lc","35.35609055","-119.0412064","49","","MOBILE","","73","meanRos_ug_m3","No","Undetermined","California","Bakersfield","Urban And Center City","Bakersfield-California","No","Arsenic","","","","","","","","","","","","",""
"06-029-2004","Arsenic Pm10 Lc","35.14222336","-119.4599991","841","","COMMERCIAL","","1167","meanRos_ug_m3","No","Undetermined","California","Taft","Suburban","Taft-College","No","Arsenic","","","","","","","","","","","","",""
"06-031-0003","Arsenic Pm10 Lc","36.08610916","-119.5625","197","","UNKNOWN","","216","meanRos_ug_m3","No","Undetermined","California","Corcoran","Unknown","Corcoran-Van Dorsten Ave","No","Arsenic","","","","","","","","","","","","",""
"06-031-0004","Arsenic Pm10 Lc","36.10218048","-119.5669556","197","","RESIDENTIAL","","216","meanRos_ug_m3","No","Undetermined","California","Corcoran","Suburban","Corcoran-Patterson","No","Arsenic","","","","","","","","","","","","",""
"06-033-3010","Arsenic Pm10 Lc","38.7745285","-122.699501","612","","FOREST","","54","meanRos_ug_m3","No","Undetermined","California","Middletown","Rural","ANDERSON SPRINGS","No","Arsenic","","","","","","","","5e-04","","","","0.000524590163934426","5e-04"
"06-033-3011","Arsenic Pm10 Lc","38.84846115","-122.7579727","334","","FOREST","","378","meanRos_ug_m3","No","Undetermined","California","Cobb","Rural","GLENBROOK","No","Arsenic","","","","","","","","0.000508474576271186","","","","5e-04","5e-04"
"06-037-0002","Arsenic Pm10 Lc","34.13650131","-117.923912","46","","RESIDENTIAL","","68","meanRos_ug_m3","No","Undetermined","California","Azusa","Suburban","Azusa","No","Arsenic","","","","","","","","","","","","",""
"06-037-4002","Arsenic Pm10 Lc","33.82376","-118.18921","485","","RESIDENTIAL","","1276","meanRos_ug_m3","No","Undetermined","California","Long Beach","Suburban","Long Beach (North)","No","Arsenic","","","","","","","","","","","","",""
"06-039-0001","Arsenic Pm10 Lc","36.95472336","-120.0363922","501","","COMMERCIAL","","727","meanRos_ug_m3","No","Undetermined","California","Madera","Urban And Center City","Madera-Library","No","Arsenic","","","","","","","","","","","","",""
"06-063-1008","Arsenic Pm10 Lc","39.79166794","-120.4716644","686","","RESIDENTIAL","","960","meanRos_ug_m3","No","Undetermined","California","Portola","Urban And Center City","MONITOR ON TOP OF PRIMETIME PIZZA BUSINESS","No","Arsenic","","","","","","","","","","","","",""
"06-067-0010","Arsenic Pm10 Lc","38.55822754","-121.492981","736","","RESIDENTIAL","","1024","meanRos_ug_m3","No","Undetermined","California","Sacramento","Urban And Center City","Sacramento-1309 T Street","No","Arsenic","","","","","","","","","","","","",""
"06-071-0014","Arsenic Pm10 Lc","34.51250076","-117.3300018","883","","RESIDENTIAL","","1378","meanRos_ug_m3","No","Undetermined","California","Victorville","Suburban","Victorville-Amargosa Road","No","Arsenic","","","","","","","","","","","","",""
"06-077-1002","Arsenic Pm10 Lc","37.95074081","-121.2685242","830","","RESIDENTIAL","","422","meanRos_ug_m3","No","Undetermined","California","Stockton","Urban And Center City","Stockton-Hazelton","No","Arsenic","","","","","","","","","","","","",""
"06-085-0004","Arsenic Pm10 Lc","37.33966446","-121.8885727","759","","RESIDENTIAL","","1045","meanRos_ug_m3","No","Undetermined","California","San Jose","Urban And Center City","San Jose - 4th St.","No","Arsenic","","","","","","","","","","","","",""
"06-099-0002","Arsenic Pm10 Lc","37.64888763","-120.996666","557","","RESIDENTIAL","","786","meanRos_ug_m3","No","Undetermined","California","Modesto","Urban And Center City","Modesto-Courthouse","No","Arsenic","","","","","","","","","","","","",""
"06-099-0005","Arsenic Pm10 Lc","37.64158249","-120.9946213","557","","COMMERCIAL","","785","meanRos_ug_m3","No","Undetermined","California","Modesto","Urban And Center City","Modesto-14th Street","No","Arsenic","","","","","","","","","","","","",""
"06-107-2002","Arsenic Pm10 Lc","36.33218002","-119.2912292","886","","COMMERCIAL","","1381","meanRos_ug_m3","No","Undetermined","California","Visalia","Urban And Center City","Visalia-Church","No","Arsenic","","","","","","","","","","","","",""
"12-057-1065","Arsenic Pm10 Lc","27.89222145","-82.53861237","844","","COMMERCIAL","","1254","meanRos_ug_m3","No","No Trend","Florida","Tampa","Suburban","USMC Reserve Center (Gandy)","No","Arsenic","","0.00122015112841687","0.000956265198803159","0.000765825360016624","0.000577464134095854","0.000588562254648234","","","","","","",""
"12-095-1004","Arsenic Pm10 Lc","28.55083275","-81.34555817","627","","COMMERCIAL","","1297","meanRos_ug_m3","No","Undetermined","Florida","Orlando","Suburban","Primrose Ave","No","Arsenic","","","","","","","","","","","","","0.000622345904079396"
"12-095-2002","Arsenic Pm10 Lc","28.59638977","-81.36250305","923","","COMMERCIAL","","1295","meanRos_ug_m3","No","Undetermined","Florida","Winter Park","Urban And Center City","WINTER PARK","No","Arsenic","","","","","","","","","","0.000951322400414468","0.000728439474240542","0.0008141","0.000622290379463723"
"12-103-0018","Arsenic Pm10 Lc","27.78586578","-82.73987579","743","","RESIDENTIAL","","1195","meanRos_ug_m3","Yes","No Trend","Florida","Saint Petersburg","Suburban","Azalea Park","No","Arsenic","","","0.00125200999282355","0.00107538500589666","0.000753852019799549","0.00116675141255106","0.00104194470949795","0.00110346564433936","0.00113630858472523","0.0014500982097913","0.00117059390994561","0.00158413748515667","0.00125836600328453"
"16-001-0100","Arsenic Pm10 Lc","43.60129929","-116.3472977","530","","COMMERCIAL","","1","meanRos_ug_m3","No","Undetermined","Idaho","Not in a city","Suburban","","No","Arsenic","","","","","0.000318329143998983","","","","","","","",""
"16-001-0200","Arsenic Pm10 Lc","43.57759857","-116.1776962","96","","RESIDENTIAL","","1404","meanRos_ug_m3","No","Undetermined","Idaho","Boise City (corporate name for Boise)","Urban And Center City","","No","Arsenic","","","","","0.000267676766721229","","","","","","","",""
"17-031-0014","Arsenic Pm10 Lc","41.83424377","-87.62380219","159","","COMMERCIAL","","176","meanRos_ug_m3","No","Undetermined","Illinois","Chicago","Suburban","FARR HALL","No","Arsenic","","","","","","","","","","","","",""
"17-031-0022","Arsenic Pm10 Lc","41.68716431","-87.53931427","158","","INDUSTRIAL","","1353","meanRos_ug_m3","No","Undetermined","Illinois","Chicago","Suburban","WASHINGTON HS","No","Arsenic","","","","","","","","","","","","",""
"17-031-0049","Arsenic Pm10 Lc","41.89694214","-87.62361145","159","","COMMERCIAL","","176","meanRos_ug_m3","No","Undetermined","Illinois","Chicago","Urban And Center City","","No","Arsenic","","","","","","","","","","","","",""
"17-031-0052","Arsenic Pm10 Lc","41.96548462","-87.74993134","158","","COMMERCIAL","","750","meanRos_ug_m3","No","Undetermined","Illinois","Chicago","Suburban","MAYFAIR PUMP STATION","No","Arsenic","","","","","","","","","","","","",""
"17-031-0060","Arsenic Pm10 Lc","41.65651703","-87.58957672","159","","RESIDENTIAL","","1220","meanRos_ug_m3","No","Undetermined","Illinois","Chicago","Suburban","CARVER HS","No","Arsenic","","","","","","","","","","","","",""
"17-031-6001","Arsenic Pm10 Lc","41.85972214","-87.75027466","164","","RESIDENTIAL","","183","meanRos_ug_m3","No","Undetermined","Illinois","Cicero","Suburban","","No","Arsenic","","","","","","","","","","","","",""
"17-115-0002","Arsenic Pm10 Lc","39.85944366","-88.92472076","221","","INDUSTRIAL","","241","meanRos_ug_m3","No","Undetermined","Illinois","Decatur","Suburban","","No","Arsenic","","","","","","","","","","","","",""
"17-117-0002","Arsenic Pm10 Lc","39.3960762","-89.80973816","599","","AGRICULTURAL","","460","meanRos_ug_m3","No","Undetermined","Illinois","Nilwood","Rural","IEPA TRAILER","No","Arsenic","","","","","","","","","","","","",""
"17-119-0010","Arsenic Pm10 Lc","38.69443893","-90.15395355","344","","INDUSTRIAL","","34","meanRos_ug_m3","No","Undetermined","Illinois","Granite City","Urban And Center City","AIR PRODUCTS","No","Arsenic","","","","","","","","","","","","",""
"17-119-1007","Arsenic Pm10 Lc","38.70453262","-90.13967133","345","","INDUSTRIAL","","388","meanRos_ug_m3","No","Undetermined","Illinois","Granite City","Urban And Center City","FIRESTATION #1","No","Arsenic","","","","","","","","","","","","",""
"17-143-0037","Arsenic Pm10 Lc","40.69700623","-89.58473969","650","","COMMERCIAL","","186","meanRos_ug_m3","No","Undetermined","Illinois","Peoria","Urban And Center City","CITY OFFICE BUILDING","No","Arsenic","","","","","","","","","","","","",""
"17-161-0001","Arsenic Pm10 Lc","41.51444244","-90.4402771","257","","COMMERCIAL","","1","meanRos_ug_m3","No","Undetermined","Illinois","East Moline","Urban And Center City","","No","Arsenic","","","","","","","","","","","","",""
"17-163-0010","Arsenic Pm10 Lc","38.61203384","-90.16047668","259","","INDUSTRIAL","","459","meanRos_ug_m3","No","Undetermined","Illinois","East Saint Louis","Suburban","IEPA-RAPS TRAILER","No","Arsenic","","","","","","","","","","","","",""
"17-163-9010","Arsenic Pm10 Lc","38.61203384","-90.16047668","612","","INDUSTRIAL","","1140","meanRos_ug_m3","No","Undetermined","Illinois","Not in a city","Suburban","ST. LOUIS - MIDWEST SUPERSITE","No","Arsenic","","","","","","","","0.00113055391333466","","","","",""
"18-089-0022","Arsenic Pm10 Lc","41.60668182","-87.30472565","327","","INDUSTRIAL","","1266","meanRos_ug_m3","No","Undetermined","Indiana","Gary","Urban And Center City","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","No","Arsenic","","","","","","0.00126365994105814","","","","","","",""
"18-089-0023","Arsenic Pm10 Lc","41.65274048","-87.43955231","249","","INDUSTRIAL","","279","meanRos_ug_m3","No","No Trend","Indiana","East Chicago","Urban And Center City","SITE MOVED FROM EAST CHICAGO FIELD SCHOOL","No","Arsenic","0.00161093087086383","0.00145470233203256","0.00145695077455642","0.00140609121520481","","0.00123442573448013","","","","","","",""
"18-097-0057","Arsenic Pm10 Lc","39.74901962","-86.18631744","400","","RESIDENTIAL","","1267","meanRos_ug_m3","No","Undetermined","Indiana","Indianapolis (Remainder)","Urban And Center City","Indpls- Harding St.","No","Arsenic","","","","","0.00098462644317529","0.00105339101398854","","","","","","",""
"18-097-0085","Arsenic Pm10 Lc","39.74038315","-86.22595215","400","","MILITARY RESERVATION","","1265","meanRos_ug_m3","No","Undetermined","Indiana","Indianapolis (Remainder)","Urban And Center City","Stout Field 2","No","Arsenic","","","","","0.00108834016629299","0.00108546722332294","","","","","","",""
"20-029-0001","Arsenic Pm10 Lc","39.57166672","-97.65694427","192","","COMMERCIAL","","208","meanRos_ug_m3","No","Undetermined","Kansas","Concordia","Suburban","","No","Arsenic","","","","","","","","","","","","",""
"20-029-0002","Arsenic Pm10 Lc","39.56900024","-97.6598053","192","","COMMERCIAL","","208","meanRos_ug_m3","No","Undetermined","Kansas","Concordia","Suburban","POINT=CENTER OF MASS OF MANMADE MATERIALS AT SITE","No","Arsenic","","","","","","","","","","","","",""
"20-057-0001","Arsenic Pm10 Lc","37.77194214","-100.0177765","239","","COMMERCIAL","","259","meanRos_ug_m3","No","Undetermined","Kansas","Dodge City","Suburban","DODGE CITY","No","Arsenic","","","","","","","","","","","","",""
"20-071-0001","Arsenic Pm10 Lc","38.46611023","-101.7752762","861","","AGRICULTURAL","","951","meanRos_ug_m3","No","Undetermined","Kansas","Not in a city","Rural","POINT=CENTER OF MASS OF MAN-MADE MATERIALS AT SITE","No","Arsenic","","","","","","","","","","","","",""
