"AMA_SITE_CODE","AQS_PARAMETER_NAME","MONITOR_LATITUDE","MONITOR_LONGITUDE","CITY","Location","LAND_USE","Setting","SITE_NAME","Stat","UsedInNatAgg","TrendDirection","state_name","city_name","location_setting","local_site_name","NATTS","ToxicNameAlias","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"01-097-3101","1,3-Butadiene","30.77029991","-88.08750153","556","","RESIDENTIAL","","1","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Suburban","","No","Butadiene","","","","","","","","","","","","",""
"01-097-3102","1,3-Butadiene","30.70890045","-88.05190277","556","","RESIDENTIAL","","1","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Suburban","","No","Butadiene","0.12058616683013","","","","","","","","","","","",""
"01-097-3103","1,3-Butadiene","30.93829918","-88.02500153","556","","RESIDENTIAL","","1","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Rural","","No","Butadiene","0.126710800193314","","","","","","","","","","","",""
"01-097-3105","1,3-Butadiene","30.57640076","-88.14029694","556","","COMMERCIAL","","1","meanRos_ug_m3","No","Undetermined","Alabama","Mobile","Suburban","","No","Butadiene","","","","","","","","","","","","",""
"02-020-0018","1,3-Butadiene","61.20586014","-149.8246002","26","","RESIDENTIAL","","1190","meanRos_ug_m3","No","Undetermined","Alaska","Anchorage","Suburban","GARDEN/TRINITY CHRISTIAN CHURCH","No","Butadiene","","","","","","","0.126100017355728","","","","0.147513750528637","",""
"04-013-4003","1,3-Butadiene","33.40316","-112.07533","659","","RESIDENTIAL","","1332","meanRos_ug_m3","No","Decreasing","Arizona","Phoenix","Urban And Center City","SOUTH PHOENIX","No","Butadiene","0.342748231367816","0.391566191107839","0.276267606896374","","","","","","","0.257214538325602","0.222940834306335","0.187508298442392","0.233395646158409"
"04-021-8001","1,3-Butadiene","33.29346466","-111.2855911","694","","DESERT","","1309","meanRos_ug_m3","No","Undetermined","Arizona","Queen Valley","Rural","QUEEN VALLEY","No","Butadiene","","","","","","","","","","","","",""
"06-001-0006","1,3-Butadiene","37.71022797","-122.1168976","762","","RESIDENTIAL","","1048","meanRos_ug_m3","No","Undetermined","California","Castro Valley","Suburban","San Leandro","No","Butadiene","","","","","","","","","","","","",""
"06-001-0007","1,3-Butadiene","37.6875267","-121.7842178","481","","COMMERCIAL","","991","meanRos_ug_m3","No","Undetermined","California","Livermore","Urban And Center City","Livermore","No","Butadiene","","","","","","","","","","0.0276201713223191","0.109816709123546","0.0968656840038591","0.0875678930277663"
"06-001-0008","1,3-Butadiene","37.8171196","-122.2804565","614","","RESIDENTIAL","","859","meanRos_ug_m3","No","Undetermined","California","Oakland","Urban And Center City","Oakland - Filbert St.","No","Butadiene","","0.287610140808768","","0.232804583245255","0.239388305769246","","","","","","","",""
"06-001-0009","1,3-Butadiene","37.74306488","-122.1699371","613","","RESIDENTIAL","","858","meanRos_ug_m3","No","Undetermined","California","Oakland","Urban And Center City","Oakland","No","Butadiene","","","","","","","","","","0.0572837938140296","0.155944401768951","0.118430776534093","0.0984113947401391"
"06-001-0011","1,3-Butadiene","37.81478119","-122.2823486","614","","RESIDENTIAL","","857","meanRos_ug_m3","No","Undetermined","California","Oakland","Urban And Center City","Oakland West","No","Butadiene","","","","","","","","","","0.0531147936516687","0.142720670463905","0.110219078095538","0.117331453216313"
"06-001-0012","1,3-Butadiene","37.79362488","-122.2633743","613","","COMMERCIAL","","669","meanRos_ug_m3","No","Undetermined","California","Oakland","Urban And Center City","Laney College","No","Butadiene","","","","","","","","","","","","0.120332284732315","0.1220794409954"
"06-001-1001","1,3-Butadiene","37.53583145","-121.9618225","314","","RESIDENTIAL","","350","meanRos_ug_m3","No","Undetermined","California","Fremont","Suburban","Fremont - Chapel Way","No","Butadiene","","0.115912292052864","0.15041450833662","0.126658402694531","0.122983126860652","","","","","","","",""
"06-001-2004","1,3-Butadiene","37.87779236","-122.3012924","81","","COMMERCIAL","","101","meanRos_ug_m3","No","Undetermined","California","Berkeley","Urban And Center City","Berkeley","No","Butadiene","","","","","","","","","","","","",""
"06-007-0002","1,3-Butadiene","39.75737","-121.8432846","161","","COMMERCIAL","","10","meanRos_ug_m3","No","Undetermined","California","Not in a city","Suburban","Chico-Manzanita Ave.","No","Butadiene","","0.279281871433989","0.235670744767043","0.12177477678802","0.139097838586715","","","","","","","",""
"06-007-0008","1,3-Butadiene","39.76153946","-121.8416214","161","","COMMERCIAL","","179","meanRos_ug_m3","No","Undetermined","California","Chico","Suburban","Chico-East Avenue","No","Butadiene","","","","","","","","","","","0.137314956092608","0.078683461121966","0.111941418915787"
"06-013-0002","1,3-Butadiene","37.93601227","-122.0261536","191","","RESIDENTIAL","","207","meanRos_ug_m3","No","Undetermined","California","Concord","Suburban","Concord","No","Butadiene","","","","","","","","","","0.028155033358471","0.0668582395615123","0.0640788127426137","0.0435595253183895"
"06-013-0006","1,3-Butadiene","37.94817352","-122.3648529","704","","INDUSTRIAL","","998","meanRos_ug_m3","No","Undetermined","California","Richmond","Urban And Center City","Richmond - 7th St.","No","Butadiene","","","","","","","","","","0.0283009826928722","0.0772106187881724","0.0626123684812694","0.0468514940422099"
"06-013-1001","1,3-Butadiene","38.0549202","-122.2332306","206","","INDUSTRIAL","","229","meanRos_ug_m3","No","Undetermined","California","Crockett","Suburban","Crockett - Kendall Ave","No","Butadiene","","","","","","","","","","0.0233271917977951","0.0620757182929427","0.0467460516890097","0.028043121562135"
"06-013-1002","1,3-Butadiene","38.00630951","-121.6419144","82","","AGRICULTURAL","","102","meanRos_ug_m3","No","Undetermined","California","Bethel Island","Rural","Bethel Island","No","Butadiene","","","","","","","","","","0.0145121113252072","","0.0438705026936355","0.0227221379729796"
"06-013-1004","1,3-Butadiene","37.96039963","-122.3568115","763","","COMMERCIAL","","1050","meanRos_ug_m3","No","No Trend","California","San Pablo","Urban And Center City","San Pablo","No","Butadiene","","0.258601608051653","","0.238035700989053","","","","","","0.0427712855782601","0.0951241824310006","0.0824443388325755","0.0686221258788084"
"06-013-2001","1,3-Butadiene","38.01281738","-122.1344681","515","","RESIDENTIAL","","739","meanRos_ug_m3","No","Undetermined","California","Martinez","Urban And Center City","Martinez - Jones St.","No","Butadiene","","","","","","","","","","0.0365695988271777","0.0831484083934713","0.067517993225258","0.0632003636204368"
"06-013-3001","1,3-Butadiene","38.02925873","-121.8968658","667","","RESIDENTIAL","","941","meanRos_ug_m3","No","Undetermined","California","Pittsburg","Urban And Center City","Pittsburg - W 10th St.","No","Butadiene","","0.214506926792679","0.236877522814575","0.265544837302922","","","","","","","","",""
"06-019-0008","1,3-Butadiene","36.78133392","-119.7731934","316","","RESIDENTIAL","","945","meanRos_ug_m3","No","Undetermined","California","Fresno","Suburban","3425 N FIRST ST, FRESNO","No","Butadiene","","0.209823795339588","0.23960822363666","0.192813542307997","0.199152399917587","","","","","","","",""
"06-019-0011","1,3-Butadiene","36.78532028","-119.7741776","316","","COMMERCIAL","","353","meanRos_ug_m3","No","Undetermined","California","Fresno","Urban And Center City","Fresno - Garland","No","Butadiene","","","","","","","","","","0.0888110932506062","0.213698058437832","0.133621772776947","0.128091070261345"
"06-019-3002","1,3-Butadiene","36.6072197","-119.5397186","638","","AGRICULTURAL","","900","meanRos_ug_m3","No","Undetermined","California","Parlier","Urban And Center City","PARLIER","No","Butadiene","","","","0.122987582114269","","","","","","","","",""
"06-025-0005","1,3-Butadiene","32.67618561","-115.4841461","123","","RESIDENTIAL","","141","meanRos_ug_m3","No","No Trend","California","Calexico","Suburban","Calexico-Ethel Street","No","Butadiene","","0.435319810905457","0.429182515210724","0.436033449939728","0.402951183279582","","","","","2.82295817421893","0.255982321593094","0.274765300975113","0.234133073160489"
"06-029-0014","1,3-Butadiene","35.35609055","-119.0412064","49","","MOBILE","","73","meanRos_ug_m3","No","No Trend","California","Bakersfield","Urban And Center City","Bakersfield-California","No","Butadiene","","0.134496513227445","0.140010843513782","0.137800422549755","0.100483641494581","","","","","0.0998837783425287","0.0998990347312067","","0.112015161615995"
"06-037-0002","1,3-Butadiene","34.13650131","-117.923912","46","","RESIDENTIAL","","68","meanRos_ug_m3","No","Decreasing","California","Azusa","Suburban","Azusa","No","Butadiene","","0.173931058421694","0.17021432017235","0.132915631269293","0.619934063612877","","","","","0.081864700451647","0.0808961594009811","0.0917715189830254","0.0763974374155172"
"06-037-1002","1,3-Butadiene","34.17604828","-118.3171234","116","","COMMERCIAL","","744","meanRos_ug_m3","No","No Trend","California","Burbank","Urban And Center City","Burbank","No","Butadiene","","0.318251347116717","0.318577473329495","0.228968298249502","0.300565074640998","","","","","0.214350069639751","0.225834673913102","",""
"06-037-1302","1,3-Butadiene","33.90139008","-118.2050018","190","","RESIDENTIAL","","745","meanRos_ug_m3","No","Undetermined","California","Compton","Urban And Center City","Compton","No","Butadiene","","0.377670962232895","0.366046382562868","","","","","","","","","",""
"06-037-1601","1,3-Butadiene","34.0140686","-118.0605621","662","","COMMERCIAL","","748","meanRos_ug_m3","No","Undetermined","California","Pico Rivera","Suburban","","No","Butadiene","","0.25217013909346","0.285016561351623","","","","","","","","","",""
"06-037-4002","1,3-Butadiene","33.82376","-118.18921","485","","RESIDENTIAL","","1276","meanRos_ug_m3","No","No Trend","California","Long Beach","Suburban","Long Beach (North)","No","Butadiene","","0.245668538441067","0.200647807463775","0.16960922805897","0.206677694831249","","","","","0.157192281753992","0.153008703687247","",""
"06-037-L0HP","1,3-Butadiene","33.98325","-118.2307","396","","","","746","meanRos_ug_m3","No","Undetermined","","","","","No","Butadiene","","0.333455270844598","","","","","","","","","","",""
"06-037-LWLB","1,3-Butadiene","33.79242","-118.2159","485","","","","749","meanRos_ug_m3","No","Undetermined","","","","","No","Butadiene","","0.193523488802845","0.184079780789403","0.151762545076495","","","","","","","","",""
"06-041-0001","1,3-Butadiene","37.97230911","-122.5200043","765","","COMMERCIAL","","1051","meanRos_ug_m3","No","Undetermined","California","San Rafael","Urban And Center City","San Rafael","No","Butadiene","","","","","","","","","","0.0434010547279867","0.0903495356533229","0.081638609462346","0.0560104579281439"
"06-041-0004","1,3-Butadiene","37.83272552","-122.5276566","612","","FOREST","","343","meanRos_ug_m3","No","Undetermined","California","Not in a city","Rural","Ft. Cronkhite","No","Butadiene","","","","","","","","","","","0.0208256905082885","0.0258832723413941",""
"06-055-0003","1,3-Butadiene","38.3109436","-122.2961884","577","","COMMERCIAL","","822","meanRos_ug_m3","No","No Trend","California","Napa","Urban And Center City","Napa","No","Butadiene","","0.262545786309426","","","","","","","","0.0571584019209497","0.146822204278833","0.122555757779018","0.0979774725083953"
"06-059-0001","1,3-Butadiene","33.82135391","-117.9142685","23","","RESIDENTIAL","","743","meanRos_ug_m3","No","Undetermined","California","Anaheim","Suburban","Anaheim (1010 Harbor Blvd)","No","Butadiene","","0.142977472081869","0.142637528366105","","","","","","","","","",""
"06-061-0006","1,3-Butadiene","38.74572754","-121.2663116","725","","MOBILE","","1016","meanRos_ug_m3","No","Decreasing","California","Roseville","Suburban","Roseville-N Sunrise Ave","No","Butadiene","","0.114137320064559","0.114037704498059","0.0997348928477412","","","","","","","0.0896073158366616","0.0803795432267507","0.0801583151261266"
"06-065-3011","1,3-Butadiene","33.79653168","-116.9744186","758","","RESIDENTIAL","","932","meanRos_ug_m3","No","Undetermined","California","San Jacinto","Rural","SAN JACINTO TOXICS SITE #1 MOUNTAIN VIEW HIGH SCHOOL","No","Butadiene","","","","","","","","","","","","",""
"06-065-3012","1,3-Butadiene","33.76485062","-116.9569016","758","","AGRICULTURAL","","934","meanRos_ug_m3","No","Undetermined","California","San Jacinto","Rural","SAN JACINTO TOXIC SITE #2 SCHOOL DISTRICT HEADQUARTERS","No","Butadiene","","","","","","","","","","","","",""
"06-071-2002","1,3-Butadiene","34.10002136","-117.492012","297","","INDUSTRIAL","","747","meanRos_ug_m3","No","Undetermined","California","Fontana","Suburban","Fontana","No","Butadiene","","0.192234176298291","0.136639919077742","","","","","","","","","",""
"06-073-0001","1,3-Butadiene","32.6312294","-117.0590744","163","","RESIDENTIAL","","182","meanRos_ug_m3","No","Decreasing","California","Chula Vista","Suburban","Chula Vista","No","Butadiene","","0.16123372633336","0.150533399938218","0.157289210785997","0.126123388915766","","","","","0.0904267017099743","0.0804664640019441","0.0792470660449845","0.0958417223026276"
"06-073-0003","1,3-Butadiene","32.79119492","-116.9420929","261","","COMMERCIAL","","290","meanRos_ug_m3","No","No Trend","California","El Cajon","Suburban","El Cajon","No","Butadiene","","0.186466189261999","0.161529502715519","0.165966195005668","0.17521023764644","","","","","0.114864740615436","0.138769212207527","",""
"06-073-1002","1,3-Butadiene","33.12771225","-117.075325","274","","COMMERCIAL","","302","meanRos_ug_m3","No","No Trend","California","Escondido","Urban And Center City","Escondido","No","Butadiene","","","","","","","0.205737444212596","0.176241010292603","0.166625642963826","0.146622760554559","0.168375683277166","0.1058717117329",""
"06-073-1010","1,3-Butadiene","32.70149231","-117.1496506","754","","COMMERCIAL","","268","meanRos_ug_m3","No","No Trend","California","San Diego","Urban And Center City","San Diego - Beardsley Street","No","Butadiene","","","","","","","0.150788513627699","0.131003480140466","0.130314516206147","0.139607039451884","0.118422924487678","0.0904463391755672",""
"06-073-1018","1,3-Butadiene","32.817978","-116.968133","261","","COMMERCIAL","","291","meanRos_ug_m3","No","Undetermined","California","El Cajon","Suburban","El Cajon - Floyd Smith Dr.","No","Butadiene","","","","","","","","","","","","","0.115453415013194"
"06-073-2007","1,3-Butadiene","32.55216217","-116.9377747","754","","MOBILE","","878","meanRos_ug_m3","No","No Trend","California","San Diego","Rural","Otay Mesa","No","Butadiene","","","","","","","0.317425453045457","0.2576650092232","0.302252892477655","0.272271456931714","0.273706307444257","",""
"06-075-0005","1,3-Butadiene","37.76594543","-122.3990402","755","","INDUSTRIAL","","1041","meanRos_ug_m3","No","No Trend","California","San Francisco","Urban And Center City","San Francisco","No","Butadiene","","0.140479095329854","0.0660838177794277","0.0825714936206741","0.0669160652898606","","","","","0.0402903327372532","0.0785779260098744","0.0880487840483856","0.0831571849345864"
"06-077-1002","1,3-Butadiene","37.95074081","-121.2685242","830","","RESIDENTIAL","","422","meanRos_ug_m3","No","No Trend","California","Stockton","Urban And Center City","Stockton-Hazelton","No","Butadiene","","0.177812520901349","0.190271770188171","0.142980076801876","0.135831590488901","","","","","0.053067583179294","0.152882525383667","0.0981699696519375","0.107443114203097"
"06-081-1001","1,3-Butadiene","37.48293304","-122.2033691","699","","INDUSTRIAL","","987","meanRos_ug_m3","No","No Trend","California","Redwood City","Suburban","Redwood City","No","Butadiene","","","","0.304117512784928","","","","","","0.0588764078035261","0.154947584921427","0.162365623850891","0.111470457059092"
"06-085-0006","1,3-Butadiene","37.338135","-121.849783","759","","MOBILE","","1046","meanRos_ug_m3","No","Undetermined","California","San Jose","Urban And Center City","San Jose - Knox Avenue","No","Butadiene","","","","","","","","","","","","","0.18108361262119"
"06-085-2007","1,3-Butadiene","37.35547638","-122.0508423","835","","RESIDENTIAL","","708","meanRos_ug_m3","No","Undetermined","California","Sunnyvale","Urban And Center City","Sunnyvale - Ticonderoga","No","Butadiene","","","","","","","","","","","","",""
"06-085-2008","1,3-Butadiene","37.40224457","-122.066597","571","","RESIDENTIAL","","812","meanRos_ug_m3","No","Undetermined","California","Mountain View","Suburban","MT VIEW-WHISMAN PARK","No","Butadiene","","","","","","","","","","","","",""
"06-085-2009","1,3-Butadiene","37.31843567","-122.0697021","209","","RESIDENTIAL","","233","meanRos_ug_m3","No","Undetermined","California","Cupertino","Suburban","Cupertino Monta Vista","No","Butadiene","","","","","","","","","","0.0307007101645041","0.0519112917430952","",""
"06-095-0004","1,3-Butadiene","38.10250854","-122.2379761","878","","COMMERCIAL","","1371","meanRos_ug_m3","No","No Trend","California","Vallejo","Urban And Center City","Vallejo","No","Butadiene","","0.253612948807832","","0.213402808303478","","","","","","0.0371307917164162","0.144722134212371","0.103780772810806","0.0844803563209872"
"06-095-0006","1,3-Butadiene","38.06560135","-122.1507034","79","","RESIDENTIAL","","97","meanRos_ug_m3","No","Undetermined","California","Benicia","Suburban","Benicia - VIP","No","Butadiene","","","","","","","","","","","","",""
"06-097-0003","1,3-Butadiene","38.44350433","-122.7101669","772","","COMMERCIAL","","1056","meanRos_ug_m3","No","Undetermined","California","Santa Rosa","Urban And Center City","Santa Rosa - 5th St","No","Butadiene","","0.272079953086834","","","","","","","","0.0389273326523488","0.102751954956012","",""
"06-097-0004","1,3-Butadiene","38.403765","-122.818294","787","","COMMERCIAL","","1079","meanRos_ug_m3","No","Undetermined","California","Sebastopol","Urban And Center City","Sebastopol","No","Butadiene","","","","","","","","","","","","0.0760145414466264","0.0563569796852989"
"06-111-2002","1,3-Butadiene","34.27573776","-118.6847305","800","","RESIDENTIAL","","1092","meanRos_ug_m3","No","Decreasing","California","Simi Valley","Suburban","Simi Valley-Cochran Street","No","Butadiene","","0.120537949894845","0.115446680580016","0.1166124693905","0.0962453204658384","","","","","","0.0862602263416805","0.0582303964856965","0.0614698079591206"
"08-001-3001","1,3-Butadiene","39.83811951","-104.9498367","901","","AGRICULTURAL","","1354","meanRos_ug_m3","No","Undetermined","Colorado","Welby","Rural","Welby","No","Butadiene","","","","","","","","","","","","",""
"08-031-0002","1,3-Butadiene","39.75118256","-104.9876251","231","","COMMERCIAL","","1234","meanRos_ug_m3","No","Undetermined","Colorado","Denver","Urban And Center City","DENVER - CAMP","No","Butadiene","","","","","","","","","","","","",""
"08-045-0005","1,3-Butadiene","39.453654","-108.053259","635","","RESIDENTIAL","","1296","meanRos_ug_m3","No","No Trend","Colorado","Parachute","Urban And Center City","PARACHUTE - HIGH SCHOOL","No","Butadiene","","","","","","0.059704967100094","0.0913317444812549","0.0920193551129548","0.083734406913994","0.083067073718679","","0.0503923350125408",""
"08-045-0007","1,3-Butadiene","39.531813","-107.782298","706","","COMMERCIAL","","1311","meanRos_ug_m3","No","No Trend","Colorado","Rifle","Urban And Center City","RIFLE - HENRY BLDG","No","Butadiene","","","","","","0.125110573628416","0.127474280510769","0.198222781680371","0.194243595714874","0.183271301081369","0.11358726114631","0.115319837131673",""
"08-045-0009","1,3-Butadiene","39.487755","-107.659685","798","","AGRICULTURAL","","1202","meanRos_ug_m3","No","Undetermined","Colorado","Silt","Rural","","No","Butadiene","","","","","","","","","","0.0788316638686311","","",""
