year,Pb (3-month),CO (8-hour),NO2 (annual),NO2 (1-hour),O3 (8-hour),PM2.5 (annual),PM2.5 (24-hour),PM10 (24-hour),SO2 (1-hour)
1990,,-34,-62,-18,20,,,-41,78
1991,,-33,-62,-19,20,,,-42,71
1992,,-39,-63,-25,14,,,-50,68
1993,,-44,-64,-26,15,,,-50,57
1994,,-41,-62,-25,16,,,-51,55
1995,,-46,-64,-26,22,,,-50,29
1996,,-50,-65,-32,16,,,-57,19
1997,,-55,-66,-34,15,,,-55,22
1998,,-56,-67,-36,22,,,-58,23
1999,,-57,-65,-32,19,,,-55,23
2000,,-60,-67,-36,12,13,0,-56,13
2001,,-65,-67,-38,13,10,2,-57,9
2002,,-68,-69,-41,20,7,-2,-58,1
2003,,-70,-70,-40,12,3,-10,-55,2
2004,,-71,-72,-45,2,0,-11,-62,1
2005,,-75,-72,-46,9,7,-4,-60,3
2006,,-75,-73,-46,7,-3,-15,-60,-2
2007,,-79,-74,-47,7,0,-10,-57,-8
2008,,-80,-76,-48,2,-9,-21,-62,-19
2009,,-80,-78,-52,-5,-17,-28,-66,-28
2010,32,-82,-79,-52,0,-16,-28,-68,-34
2011,29,-83,-79,-53,4,-18,-28,-62,-45
2012,17,-83,-80,-56,7,-23,-36,-64,-51
2013,-33,-83,-81,-56,-4,-25,-34,-60,-58
2014,-61,-83,-81,-55,-4,-26,-35,-62,-59
2015,-76,-84,-82,-57,-3,-29,-36,-62,-64
2016,-75,-84,-83,-59,-2,-35,-45,-64,-76
2017,-75,-85,-84,-59,-3,-32,-40,-61,-80
2018,-77,-83,-84,-59,-2,-31,-33,-54,-80
2019,-81,-87,-85,-61,-8,-36,-44,-69,-83
2020,-83,-82,-85,-62,-7,-32,-29,-54,-84
2021,-85,-87,-85,-62,-5,-29,-33,-59,-84
2022,-84,-87,-85,-62,-7,-35,-42,-61,-82
